report_num,significant,long,lat
20130256,0,-94.0594,30.0095
20130257,1,-96.7549,36.01663
20130258,1,-94.36011,42.80667
20130259,1,-94.40176,42.79375
20130260,0,-97.67782,38.3362
20130261,0,-89.481844,37.226483
20130262,0,-119.650239,35.32395
20130263,1,-107.701801,45.250322
20130264,0,-94.93971,29.36555
20130265,0,-79.93686505,36.07123064
20130266,1,-91.563535,30.155076
20130267,1,-99.571389,28.3563889
20130268,0,-83.44724,41.61955
20130269,1,-103.56694,47.7826
20130270,0,-97.800378,28.605919
20130271,1,-94.00565624,29.90087416
20130272,1,-74.25384,40.52243
20130273,0,-96.91695,37.80249
20130274,1,-99.631503,48.331143
20130275,1,-100.119192,48.365352
20130276,1,-80.56138,39.70808
20130277,0,-98.437029,33.914949
20130278,0,-98.789953,28.63112
20130279,0,-94.81861,38.19639
20130280,0,-93.76306,47.32444
20130281,1,-98.1214,33.139747
20130282,1,-97.49499,29.04464
20130283,1,-79.93686505,36.07123064
20130284,1,-95.35215,29.04718
20130285,0,-105.224281,34.421537
20130286,1,-106.7119444,42.9916667
20130287,0,-101.46052,32.10503
20130288,1,-96.492211,45.883706
20130289,1,-96.052414,36.927591
20130290,0,-119.68993,35.431862
20130291,0,-85.851089,39.025586
20130292,0,-96.74449,35.94754
20130293,0,-103.2997222,32.7261111
20130294,0,-94.624817,43.78507
20130295,1,-87.44906,41.51616
20130296,1,-74.25384,40.52243
20130297,0,-93.997047,45.698036
20130298,0,-75.9956,42.1043
20130299,0,-75.41714,39.85162
20130300,0,-83.45352,41.67284
20130301,0,-74.23907,40.605222
20130302,0,-94.79471,30.02448
20130303,0,-102.881185,48.012617
20130304,1,-122.056224,38.003663
20130305,1,-93.5581,30.060572
20130306,1,-96.38565,36.346272
20130307,1,-90.098627,41.697667
20130308,0,-74.24819,40.57741
20130309,1,-94.831033,32.483217
20130310,0,-74.25384,40.52243
20130311,0,-89.104467,39.789126
20130312,0,-97.87389,30.20382
20130313,1,-103.647714,47.934931
